"MEASURE","Data item","REGIONTYPE","Geography Level","LGA_2019","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","21750","Colac-Otway (S)","A","Annual","2016","2016",4.2,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","21750","Colac-Otway (S)","A","Annual","2016","2016",40309,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","21750","Colac-Otway (S)","A","Annual","2016","2016",35.7,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","21830","Corangamite (S)","A","Annual","2016","2016",89.4,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","21830","Corangamite (S)","A","Annual","2016","2016",1.7,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","21830","Corangamite (S)","A","Annual","2016","2016",38374,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","21830","Corangamite (S)","A","Annual","2016","2016",32.5,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","21890","Darebin (C)","A","Annual","2016","2016",77.9,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","21890","Darebin (C)","A","Annual","2016","2016",37,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","21890","Darebin (C)","A","Annual","2016","2016",48779,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","21890","Darebin (C)","A","Annual","2016","2016",62.7,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","22110","East Gippsland (S)","A","Annual","2016","2016",88.3,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","22110","East Gippsland (S)","A","Annual","2016","2016",3.5,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","22110","East Gippsland (S)","A","Annual","2016","2016",37835,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","22110","East Gippsland (S)","A","Annual","2016","2016",33.5,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","22170","Frankston (C)","A","Annual","2016","2016",85,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","22170","Frankston (C)","A","Annual","2016","2016",11.4,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","22170","Frankston (C)","A","Annual","2016","2016",47678,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","22170","Frankston (C)","A","Annual","2016","2016",46.4,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","22250","Gannawarra (S)","A","Annual","2016","2016",91.1,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","22250","Gannawarra (S)","A","Annual","2016","2016",2,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","22250","Gannawarra (S)","A","Annual","2016","2016",37360,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","22250","Gannawarra (S)","A","Annual","2016","2016",26.1,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","22310","Glen Eira (C)","A","Annual","2016","2016",79.6,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","22310","Glen Eira (C)","A","Annual","2016","2016",31.5,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","22310","Glen Eira (C)","A","Annual","2016","2016",52000,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","22310","Glen Eira (C)","A","Annual","2016","2016",71.2,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","22410","Glenelg (S)","A","Annual","2016","2016",89.2,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","22410","Glenelg (S)","A","Annual","2016","2016",2.3,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","22410","Glenelg (S)","A","Annual","2016","2016",41286,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","22410","Glenelg (S)","A","Annual","2016","2016",30.2,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","22490","Golden Plains (S)","A","Annual","2016","2016",91.5,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","22490","Golden Plains (S)","A","Annual","2016","2016",3,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","22490","Golden Plains (S)","A","Annual","2016","2016",46592,,
"HIGH_2","Completed Year 12 or equivalent (%)","LGA2019","Local Government Areas (2019)","22490","Golden Plains (S)","A","Annual","2016","2016",40.5,,
"CENSUS_29","Australian citizen (%)","LGA2019","Local Government Areas (2019)","22620","Greater Bendigo (C)","A","Annual","2016","2016",89.9,,
"CENSUS_33","Speaks a Language Other Than English at Home (%)","LGA2019","Local Government Areas (2019)","22620","Greater Bendigo (C)","A","Annual","2016","2016",4.6,,
"INCOME_2","Median employee income ($)","LGA2019","Local Government Areas (2019)","22620","Greater Bendigo (C)","A","Annual","2016","2016",44554,,
